"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27.2549 44.9058 21.2888 6.8061 0 29.1036 39.4714 40.5415 36.5289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49.8604 49.7733 28.493 0 0 0 0 26.0789 33.8549 25.7864 41.7116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37.7244 0 0 0 0 0 53.648 0 48.15 38.0908 49.5261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34.6498 27.7085 0 0 0 21.0078 54.9403 0 26.085 29.9031 43.3174 43.1214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50.2779 48.8775 54.894 55.1532 36.162 0 49.8207 56.5412 48.8132 5.8396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68.7496 60.9713 76.2819 0 0 0 0 0 49.7473 37.7171 0 0 0 0 0 41.7778 56.3712 40.164 40.5819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0 0 0 0 77.0063 82.2334 68.6149 79.7263 95.1067 71.8625 63.4337 57.2729 65.2278 47.9017 76.8715 0 0 0 0 0 22.3995 0 0 58.225 29.088 64.1829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0 0 66.8956 55.8711 76.3018 78.2492 50.3246 70.7023 71.7246 63.0454 56.7321 80.1159 58.2324 58.6548 41.6576 51.4705 0 0 0 0 30.455 0 0 31.6815 57.9964 47.6128 40.8537 0 0 0 0 0 57.0088 23.2668 39.9924 41.5392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 67.5755 86.5473 76.5119 63.3008 74.2194 67.8238 64.7534 71.9879 81.521 49.1445 76.1206 56.6351 77.5914 74.6077 62.4352 65.5143 46.7455 60.9718 0 0 0 0 0 0 0 0 29.2433 28.9213 43.8269 0 0 0 0 0 0 0 0 10.369 43.3075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 68.1626 72.0366 70.5969 69.0533 67.1923 54.5424 76.5248 70.7482 61.3948 84.9344 64.1539 87.1756 84.9574 70.6578 72.4581 0 0 0 0 0 0 0 0 0 0 0 49.9262 29.5809 0 0 0 46.096 36.5335 37.2801 49.8758 0 29.8863 46.1592 45.4335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 78.5813 75.1115 49.4625 42.9881 78.2866 79.5465 81.8734 88.9847 79.5572 67.8491 75.6876 89.7314 78.046 71.364 80.4817 81.593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50.1591 20.3762 19.3349 39.8987 0 49.7919 40.3988 49.4856 54.4684 54.8241 34.0599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 78.9322 78.3341 60.0669 66.2408 64.4145 64.1801 68.3484 88.5714 48.5478 65.7676 78.8594 64.3414 69.9538 79.5653 85.2978 77.1005 62.7416 60.7408 0 0 0 0 49.9529 0 0 0 0 0 0 0 54.2658 47.5596 28.7654 49.9837 0 35.887 22.9953 0 0 0 43.7652 51.4114 30.8305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
